date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:28:18	24112/24112	---M--	200	added ('OK')	image/jpeg	etag:%2261327952-5e30%22	https://naftagaz.com/upload/iblock/5b4/6aipytip96wgo5thy20bd779qm4dgmzb.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/iblock/5b4/6aipytip96wgo5thy20bd779qm4dgmzb.jpg	(from https://naftagaz.com/en/)
01:28:18	202396/202396	---M--	200	added ('OK')	image/jpeg	etag:%2261327ae6-3169c%22	https://naftagaz.com/upload/resize_cache/iblock/cfb/720_720_2/wpy9ahbq6h54ie8yqgol0eqcbwu8v0ec.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/resize_cache/iblock/cfb/720_720_2/wpy9ahbq6h54ie8yqgol0eqcbwu8v0ec.jpg	(from https://naftagaz.com/en/)
01:28:19	228347/228347	---M--	200	added ('OK')	image/jpeg	etag:%2261327ae7-37bfb%22	https://naftagaz.com/upload/resize_cache/iblock/09a/720_720_2/ong4ukh7xy0a03xg3704mx23fc7237dh.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/resize_cache/iblock/09a/720_720_2/ong4ukh7xy0a03xg3704mx23fc7237dh.jpg	(from https://naftagaz.com/en/)
01:28:19	64003/64003	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2001:28:19%20GMT	https://naftagaz.com/en/ceo/islam-nazaraliev/	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/en/ceo/islam-nazaraliev/index.html	(from https://naftagaz.com/en/)
01:28:19	252637/252637	---M--	200	added ('OK')	image/jpeg	etag:%2261327ae7-3dadd%22	https://naftagaz.com/upload/resize_cache/iblock/5ca/720_720_2/xl2fv0q44rh2cdslolzbf43r6okemqiu.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/resize_cache/iblock/5ca/720_720_2/xl2fv0q44rh2cdslolzbf43r6okemqiu.jpg	(from https://naftagaz.com/en/)
01:28:19	223920/223920	---M--	200	added ('OK')	image/jpeg	etag:%2261327ae8-36ab0%22	https://naftagaz.com/upload/resize_cache/iblock/79a/720_720_2/a9je73r4afbrq12y655rzw4akov5lied.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/resize_cache/iblock/79a/720_720_2/a9je73r4afbrq12y655rzw4akov5lied.jpg	(from https://naftagaz.com/en/)
01:28:19	38191/38191	---M--	200	added ('OK')	image/jpeg	etag:%22624579ca-952f%22	https://naftagaz.com/upload/resize_cache/iblock/458/270_360_0/iq6hx2s1o38xtwgjlzojs4h5qko65wnz.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/resize_cache/iblock/458/270_360_0/iq6hx2s1o38xtwgjlzojs4h5qko65wnz.jpg	(from https://naftagaz.com/en/)
01:28:19	14494/14494	---M--	200	added ('OK')	image/jpeg	etag:%226242d606-389e%22	https://naftagaz.com/upload/resize_cache/iblock/7fd/270_360_0/rgebxje7052i0chgabz32gnjfy37yyzl.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/resize_cache/iblock/7fd/270_360_0/rgebxje7052i0chgabz32gnjfy37yyzl.jpg	(from https://naftagaz.com/en/)
01:28:20	33330/33330	---M--	200	added ('OK')	image/jpeg	etag:%22623c3559-8232%22	https://naftagaz.com/upload/resize_cache/iblock/d84/270_360_0/w5bo35fkz6ldpumv8f6577zytl43avlp.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/resize_cache/iblock/d84/270_360_0/w5bo35fkz6ldpumv8f6577zytl43avlp.jpg	(from https://naftagaz.com/en/)
01:28:20	50373/50373	---M--	200	added ('OK')	image/jpeg	etag:%2262334755-c4c5%22	https://naftagaz.com/upload/resize_cache/iblock/d54/270_360_0/x6f5rf8i7tvdtqh5x7twqw9kqot74swx.jpg	C:/My%20Web%20Sites/Naftagaz/naftagaz.com/upload/resize_cache/iblock/d54/270_360_0/x6f5rf8i7tvdtqh5x7twqw9kqot74swx.jpg	(from https://naftagaz.com/en/)
